chr	start	end	strand	shifting_score	shift_in_bp	dominant_peak_maternal	dominant_peak_zygotic	ensembl_gene_id	gene_start	gene_end	tss	entrezgene	external_gene_id	gene_biotype
chr3	10134011	10134092	-	0.749007149	79	10134092	10134013	ENSDARG00000024317	10077604	10134164	10134164	571959	TRAP1 (2 of 2)	protein_coding
chr3	11876232	11876274	-	0.771494708	35	11876274	11876239	ENSDARG00000074752	11836048	11876055	11876055	768192	hlfa	protein_coding
chr3	14832210	14832360	-	0.732127619	-38	14832222	14832260	ENSDARG00000044769	14818574	14832260	14832260	100000647	kctd13	protein_coding
chr3	15630891	15630955	-	0.681772945	36	15630951	15630915	ENSDARG00000057910	15470754	15630949	15630949	795846	mrps34	protein_coding
chr3	20779702	20779793	-	0.647877867	-2	20779706	20779708	ENSDARG00000038215	20644491	20779738	20779738	100005514	spop	protein_coding
chr3	23804339	23804400	-	0.658476198	51	23804396	23804345	NA	NA	NA	NA	NA	NA	NA
chr3	25188207	25188235	-	0.692312001	-21	25188208	25188229	ENSDARG00000007916	25160769	25188253	25188253	573360	xpnpep3	protein_coding
chr3	25522371	25522708	-	0.696590823	38	25522462	25522424	ENSDARG00000077361	25481019	25522198	25522198	NA	BPTF	protein_coding
chr3	30118977	30119151	-	0.669245702	76	30119080	30119004	ENSDARG00000054849	30101106	30119174	30119174	436949	bcat2	protein_coding
chr3	32011965	32012141	-	0.702199339	58	32012126	32012068	NA	NA	NA	NA	NA	NA	NA
chr3	33396511	33396652	-	0.683608225	93	33396652	33396559	NA	NA	NA	NA	NA	NA	NA
chr3	34221650	34221748	-	0.675498431	8	34221684	34221676	ENSDARG00000020679	34214801	34222074	34222074	553713	clpp	protein_coding
chr3	34423198	34423319	-	0.657122944	82	34423319	34423237	NA	NA	NA	NA	NA	NA	NA
chr3	36245895	36246024	-	0.617145956	69	36245997	36245928	ENSDARG00000040650	36233178	36246017	36246017	777711	gps1	protein_coding
chr3	37143355	37143416	-	0.671125164	27	37143390	37143363	ENSDARG00000037891	37130298	37143376	37143376	NA	mlx	processed_transcript
chr3	37780596	37780692	-	0.654233869	9	37780631	37780622	ENSDARG00000020623	37771271	37780655	37780655	58081	baxa	protein_coding
chr3	40227312	40227472	-	0.638464408	-5	40227319	40227324	ENSDARG00000059701	40202349	40227310	40227310	560281	flii	protein_coding
chr3	45319218	45319298	-	0.689228369	38	45319296	45319258	ENSDARG00000015722	45299500	45319463	45319463	322008	kctd5	protein_coding
chr3	50608049	50608102	-	0.647909011	50	50608100	50608050	ENSDARG00000059598	50585962	50607974	50607974	768149	SAMD1 (2 of 2)	protein_coding
chr3	57763613	57763685	-	0.669152613	29	57763670	57763641	NA	NA	NA	NA	NA	NA	NA
chr3	58444607	58444720	-	0.715938727	-63	58444611	58444674	ENSDARG00000032327	58397544	58444679	58444679	327239	usp36	protein_coding
chr3	58593620	58593742	-	0.635859966	-79	58593621	58593700	ENSDARG00000052429	58583236	58593585	58593585	563028	syngr2a	protein_coding
chr3	62748911	62749088	-	0.623149232	64	62749084	62749020	ENSDARG00000067607	62721991	62748815	62748815	793274	srebf1	protein_coding
chr3	62787956	62788036	-	0.759749883	-14	62787957	62787971	ENSDARG00000056394	62759005	62787959	62787959	100535615	TOM1L2 (1 of 2)	protein_coding
chr3	62856772	62856973	-	0.620439267	-24	62856887	62856911	ENSDARG00000052344	62835661	62856777	62856777	492761	tbl3	protein_coding
chr3	63055638	63055722	-	0.688749405	-72	63055639	63055711	ENSDARG00000037783	63044926	63055718	63055718	768176	PROZ (1 of 2)	protein_coding
chr4	1478573	1478771	+	0.707717859	-30	1478666	1478636	ENSDARG00000045885	1478639	1499411	1478639	NA	scaf11	protein_coding
chr4	1620057	1620099	+	0.682721141	11	1620084	1620095	ENSDARG00000016979	1620084	1630363	1620084	503532	pmpcb	protein_coding
chr4	5515926	5515972	+	0.713676008	4	5515945	5515949	ENSDARG00000024465	5515945	5518389	5515945	558080	mrps18a	protein_coding
chr4	6028196	6028299	+	0.693827777	30	6028250	6028280	NA	NA	NA	NA	NA	NA	NA
chr4	7056385	7056428	+	0.692565627	-32	7056428	7056396	ENSDARG00000075025	7056388	7063840	7056388	393694	cdc123	protein_coding
chr4	11356782	11356845	+	0.688866304	-30	11356839	11356809	ENSDARG00000041665	11356798	11372369	11356798	170782	mkrn1	protein_coding
chr4	12031159	12031192	+	0.711825157	31	12031161	12031192	ENSDARG00000078613	12031164	12032545	12031164	795635	vhll	protein_coding
chr4	14671192	14671231	+	0.63934985	22	14671200	14671222	ENSDARG00000004336	14671236	14881932	14671236	559866	exoc4	protein_coding
chr4	18985864	18985911	+	0.675373171	-4	18985882	18985878	ENSDARG00000045542	18985878	18989001	18985878	561019	C4H7orf59	protein_coding
chr4	19421737	19421761	+	0.636747124	7	19421741	19421748	ENSDARG00000011764	19421731	19435358	19421731	334292	C4H12orf11	protein_coding
chr4	25140505	25140606	+	0.684670914	13	25140545	25140558	NA	NA	NA	NA	NA	NA	NA
chr4	26396917	26396986	+	0.848560842	-26	26396949	26396923	ENSDARG00000041199	26396919	26406139	26396919	569494	alg12	protein_coding
chr4	58210234	58210313	+	0.803776593	37	58210273	58210310	NA	NA	NA	NA	NA	NA	NA
chr4	2080629	2080721	-	0.682535876	-42	2080641	2080683	ENSDARG00000079143	2068247	2080596	2080596	100334203	CU694324.1	protein_coding
chr4	4805822	4805868	-	0.879142321	22	4805849	4805827	ENSDARG00000039346	4803655	4805868	4805868	541328	ndufa5	protein_coding
chr4	6198085	6198210	-	0.951921303	23	6198209	6198186	ENSDARG00000068708	6188680	6198209	6198209	555178	ifrd1	protein_coding
chr4	11166400	11166591	-	0.630097085	-7	11166535	11166542	ENSDARG00000017661	11139549	11166549	11166549	403065	braf	protein_coding
chr4	14019374	14019481	-	0.757574255	22	14019461	14019439	ENSDARG00000022424	13997929	14019421	14019421	322846	slc26a5	protein_coding
chr4	27663963	27664043	-	0.689760884	5	27663976	27663971	ENSDARG00000043734	27649081	27663973	27663973	553625	trmu	protein_coding
chr4	58628541	58628577	-	0.701632482	7	58628559	58628552	NA	NA	NA	NA	NA	NA	NA
chr4	58887429	58887469	-	0.805179191	-27	58887430	58887457	ENSDARG00000094551	58886567	58887456	58887456	NA	si:dkey-262g12.2	processed_transcript
chr5	1436732	1436912	+	0.692415379	-30	1436816	1436786	ENSDARG00000075952	1437051	1456383	1437051	NA	mbd2	protein_coding
chr5	3945209	3945317	+	0.737229474	11	3945210	3945221	ENSDARG00000023950	3945258	3954984	3945258	393243	ZNHIT3	protein_coding
chr5	9108877	9108949	+	0.658655719	20	9108900	9108920	ENSDARG00000059418	9108904	9128289	9108904	NA	RICTOR (2 of 3)	protein_coding
chr5	9358388	9358475	+	0.666794794	-17	9358473	9358456	ENSDARG00000062897	9358431	9421186	9358431	567533	TNKS (2 of 2)	protein_coding
chr5	9540984	9540994	+	0.640731124	-4	9540989	9540985	ENSDARG00000016710	9540987	9554968	9540987	321875	rchy1	protein_coding
chr5	14039269	14039450	+	0.748321882	-33	14039375	14039342	ENSDARG00000018902	14039259	14067732	14039259	30228	pes	protein_coding
chr5	14757968	14758027	+	0.751595149	-45	14758027	14757982	ENSDARG00000092098	14757982	14768101	14757982	569937	CKAP2L	protein_coding
chr5	17766362	17766501	+	0.677137451	45	17766421	17766466	NA	NA	NA	NA	NA	NA	NA
chr5	21793643	21793698	+	0.663625732	-24	21793695	21793671	NA	NA	NA	NA	NA	NA	NA
chr5	26551563	26551607	+	0.750364602	-28	26551607	26551579	ENSDARG00000079816	26551568	26555532	26551568	797317	rhbdd3	protein_coding
chr5	27782819	27782969	+	0.652922129	4	27782862	27782866	ENSDARG00000004251	27782862	27791037	27782862	81882	dhfr	protein_coding
chr5	27849111	27849256	+	0.682825341	81	27849112	27849193	ENSDARG00000061651	27849110	27856395	27849110	563122	marveld2b	protein_coding
chr5	27865509	27865736	+	0.621117619	-20	27865591	27865571	ENSDARG00000016514	27865560	27877617	27865560	323239	gtf2h2	protein_coding
chr5	28491712	28491774	+	0.633951619	26	28491736	28491762	ENSDARG00000054540	28491739	28496589	28491739	436992	imp4	protein_coding
chr5	29065572	29065608	+	0.68923568	28	29065575	29065603	ENSDARG00000056281	29065574	29073765	29065574	100002371	CYBASC3 (2 of 2)	protein_coding
chr5	30145135	30145173	+	0.663735949	25	30145139	30145164	NA	NA	NA	NA	NA	NA	NA
chr5	32398210	32398302	+	0.64586327	15	32398247	32398262	ENSDARG00000055639	32398249	32409824	32398249	317678	ruvbl2	protein_coding
chr5	32625488	32625667	+	0.672332332	38	32625491	32625529	ENSDARG00000015292	32625529	32634125	32625529	334133	ube2g1a	protein_coding
chr5	32635244	32635328	+	0.775283464	8	32635308	32635316	NA	NA	NA	NA	NA	NA	NA
chr5	33117966	33117991	+	0.714520057	-20	33117987	33117967	ENSDARG00000035471	33117957	33228615	33117957	795920	MEGF9 (2 of 2)	protein_coding
chr5	33449166	33449276	+	0.665726424	11	33449254	33449265	ENSDARG00000013082	33449277	33455010	33449277	393264	uap1l1	protein_coding
chr5	34905503	34905712	+	0.710618022	-22	34905575	34905553	ENSDARG00000014148	34905509	34912694	34905509	415234	med22	protein_coding
chr5	38451136	38451226	+	0.638857973	16	38451205	38451221	ENSDARG00000035326	38450813	38454718	38450813	30078	nccrp1	protein_coding
chr5	39563627	39563742	+	0.688345438	42	39563637	39563679	ENSDARG00000035352	39563708	39573967	39563708	567170	pafah1b2	protein_coding
chr5	43615451	43615518	+	0.645068613	38	43615454	43615492	ENSDARG00000067752	43615471	43672652	43615471	561471	pigl	protein_coding
chr5	45076471	45076634	+	0.623904394	-92	45076612	45076520	NA	NA	NA	NA	NA	NA	NA
chr5	57686990	57687114	+	0.689954058	25	57687039	57687064	ENSDARG00000025467	57687050	57714995	57687050	559477	aatf	protein_coding
chr5	59092882	59092973	+	0.819106046	39	59092903	59092942	ENSDARG00000012840	59092926	59112290	59092926	393598	alg9	protein_coding
chr5	60728241	60728417	+	0.641262982	45	60728286	60728331	ENSDARG00000059600	60728343	60777851	60728343	568064	rabep1	protein_coding
chr5	62753881	62753909	+	0.709113754	27	62753882	62753909	NA	NA	NA	NA	NA	NA	NA
chr5	62950661	62950732	+	0.696646204	-47	62950721	62950674	ENSDARG00000052815	62950450	62964793	62950450	550338	alad	protein_coding
chr5	67549562	67549607	+	0.667211743	8	67549596	67549604	ENSDARG00000070566	67549590	67572081	67549590	492801	pmpca	protein_coding
chr5	72590709	72590821	+	0.681431853	37	72590714	72590751	ENSDARG00000067560	72590723	72601482	72590723	436837	gtf2h3	protein_coding
chr5	75259002	75259050	+	0.732084102	28	75259005	75259033	ENSDARG00000035187	75259821	75283136	75259821	100000720	abl1	protein_coding
chr5	75572069	75572307	+	0.644188387	20	75572190	75572210	ENSDARG00000034077	75572318	75577573	75572318	402930	zgc:77391	protein_coding
chr5	1540134	1540234	-	0.682828437	-14	1540187	1540201	ENSDARG00000037182	1529005	1540184	1540184	445173	SURF2	protein_coding
chr5	4304678	4304796	-	0.728443612	21	4304784	4304763	ENSDARG00000017762	4261225	4304755	4304755	192311	srrt	protein_coding
chr5	14409004	14409076	-	0.786216296	-17	14409040	14409057	NA	NA	NA	NA	NA	NA	NA
chr5	16149404	16149553	-	0.664505318	-36	16149448	16149484	NA	NA	NA	NA	NA	NA	NA
chr5	22229344	22229432	-	0.727749219	18	22229399	22229381	ENSDARG00000035596	22227216	22229410	22229410	445238	ISCU (1 of 2)	protein_coding
chr5	23810659	23810763	-	0.771977054	63	23810746	23810683	ENSDARG00000017086	23804470	23810685	23810685	322927	asb12a	protein_coding
chr5	33354267	33354326	-	0.764456786	19	33354319	33354300	ENSDARG00000095623	33351973	33354328	33354328	796295	dpm2	protein_coding
chr5	33712102	33712335	-	0.734228834	-5	33712261	33712266	ENSDARG00000035433	33698496	33712252	33712252	556104	arpc5lb	protein_coding
chr5	36882333	36882467	-	0.682449719	-11	36882383	36882394	ENSDARG00000035391	36871355	36882415	36882415	550275	ptcd2	protein_coding
chr5	40424772	40424923	-	0.641459398	16	40424894	40424878	ENSDARG00000054597	40386938	40424923	40424923	553665	cnot6l	protein_coding
chr5	41824061	41824220	-	0.612418485	114	41824219	41824105	NA	NA	NA	NA	NA	NA	NA
chr5	57161183	57161483	-	0.651599656	45	57161373	57161328	ENSDARG00000067656	57128941	57161353	57161353	393927	kcmf1	protein_coding
chr5	60810121	60810181	-	0.626454573	32	60810161	60810129	ENSDARG00000003235	60787863	60810130	60810130	321744	nup88	protein_coding
chr5	68442853	68442906	-	0.631328896	23	68442903	68442880	ENSDARG00000028949	68438704	68442857	68442857	100142649	ZBTB26	protein_coding
